Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
China,2022,"Fish; frozen, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,35719143,32556752,Weight in kilograms,32556752
China,2022,"Fish; frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9",Import,63474273,28575210,Weight in kilograms,28575210
China,2022,"Fish; frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9",Export,636116,194327,Weight in kilograms,194327
China,2022,"Fish; frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,861688,656838,Weight in kilograms,656838
China,2022,"Fish; frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,4014517,591766,Weight in kilograms,591766
China,2022,"Fish; frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,246937,154558,Weight in kilograms,154558
China,2022,"Fish; frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1607798,934772,Weight in kilograms,934772
China,2022,"Fish; frozen, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and edible fish offal of subheadings 0303.91 to 0303.99",Export,1639136,42195,Weight in kilograms,42195
China,2022,"Fish; frozen, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and edible fish offal of subheadings 0303.91 to 0303.99",Import,106685719,3573621,Weight in kilograms,3573621
China,2022,"Fish; frozen, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,1405600,240310,Weight in kilograms,240310
China,2022,"Fish; frozen, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,20616,447,Weight in kilograms,447
China,2022,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,968466468,467202776,Weight in kilograms,467202776
China,2022,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,896098599,182406940,Weight in kilograms,182406940
China,2022,"Fish; frozen, livers, roes and milt",Import,165795717,10953567,Weight in kilograms,10953567
China,2022,"Fish; frozen, livers, roes and milt",Export,40695400,803066,Weight in kilograms,803066
China,2022,"Fish; frozen, shark fins",Import,31746951,2857997,Weight in kilograms,2857997
China,2022,"Fish; frozen, shark fins",Export,1980,20,Weight in kilograms,20
